Title,Miles,Price,Deal,Year,Make,Model
2014 Lexus GX 460 Base,116480,23987,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 460,118131,22490,Good,2014,Lexus,GX 460 460
2014 Lexus GX 460 Luxury,133167,24744,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,124481,21488,None,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,106325,27995,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,134308,23895,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Luxury,98000,28900,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,96889,29995,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,72571,26995,Good,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,176070,20944,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 4WD,171350,19995,Good,2014,Lexus,GX 460 4WD
2014 Lexus GX 460 Base,138769,20995,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,101161,23995,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,81806,24993,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,75855,26399,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,101005,25196,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,156390,20999,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Sport Utility,77527,25943,Good,2014,Lexus,GX 460 Sport Utility
2014 Lexus GX 460 460,69396,27500,Fair,2014,Lexus,GX 460 460
2014 Lexus GX 460 Base,72750,25890,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,86085,26387,Good,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,73136,26555,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,84057,26991,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,140243,22999,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,153858,26999,None,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,155698,24998,None,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,151379,20995,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,108464,23995,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,115733,23850,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,97592,21999,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,95148,25980,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Premium w/ Navigation BSM,85673,25595,Good,2014,Lexus,GX 460 Premium w/ Navigation BSM
2014 Lexus GX 460 GX 460 Sport Utility 4D,77160,25699,Good,2014,Lexus,GX 460 GX 460 Sport Utility 4D
2014 Lexus GX 460 Base,129477,21995,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,89309,29995,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,163847,19481,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,122575,25998,Good,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Luxury,164096,20999,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,164363,21364,None,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,112520,25988,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,88314,24495,Good,2014,Lexus,GX 460 Base
2014 Lexus GX 460 GX 460 Sport Utility 4D,98534,22995,Good,2014,Lexus,GX 460 GX 460 Sport Utility 4D
2014 Lexus GX 460 Luxury,105824,27995,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,103873,21991,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Base,107971,23978,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,129061,22995,Fair,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 Base,159305,22350,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 GX 460 Sport Utility 4D,132421,21499,Good,2014,Lexus,GX 460 GX 460 Sport Utility 4D
2014 Lexus GX 460 Base,75768,26499,Fair,2014,Lexus,GX 460 Base
2014 Lexus GX 460 Luxury,170995,21785,Good,2014,Lexus,GX 460 Luxury
2014 Lexus GX 460 460,69367,24988,Good,2014,Lexus,GX 460 460
2014 Lexus GX 460 Base,175802,18000,Fair,2014,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,113020,26247,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,34339,33998,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,136138,22999,Great,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 GX 460 Sport Utility 4D,110223,22995,Great,2015,Lexus,GX 460 GX 460 Sport Utility 4D
2015 Lexus GX 460 4WD 4dr,101007,21500,Good,2015,Lexus,GX 460 4WD 4dr
2015 Lexus GX 460 Base,90850,29991,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,74879,29998,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base AWD 4dr SUV,105336,24990,Good,2015,Lexus,GX 460 Base AWD 4dr SUV
2015 Lexus GX 460 Base AWD 4dr SUV,176052,20488,Good,2015,Lexus,GX 460 Base AWD 4dr SUV
2015 Lexus GX 460 Base,68209,32240,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,151694,24995,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 460,93334,25000,Good,2015,Lexus,GX 460 460
2015 Lexus GX 460 Base,80166,24810,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 460,117697,23407,Fair,2015,Lexus,GX 460 460
2015 Lexus GX 460 Base,110000,22995,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,171747,23777,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,86917,27281,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,138473,20444,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,165198,20997,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,77320,28998,Great,2015,Lexus,GX 460 Base
2015 Lexus GX 460 GX 460 Sport Utility 4D,106099,24702,Good,2015,Lexus,GX 460 GX 460 Sport Utility 4D
2015 Lexus GX 460 Base,120000,22995,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,61847,30998,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,91000,28200,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,73012,30674,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 460,132628,18995,Great,2015,Lexus,GX 460 460
2015 Lexus GX 460 Luxury,87079,29995,Fair,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,104988,29998,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,86249,26500,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 460,92185,26618,Good,2015,Lexus,GX 460 460
2015 Lexus GX 460 GX 460 Sport Utility 4D,118303,24999,Good,2015,Lexus,GX 460 GX 460 Sport Utility 4D
2015 Lexus GX 460 Luxury,191905,20650,Fair,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,101153,25995,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,62391,29995,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 460,104340,27000,Good,2015,Lexus,GX 460 460
2015 Lexus GX 460 Luxury,144008,21999,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 4WD 4dr,94170,27950,Fair,2015,Lexus,GX 460 4WD 4dr
2015 Lexus GX 460 Base,165282,18500,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,95696,25848,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 460,92195,24999,Good,2015,Lexus,GX 460 460
2015 Lexus GX 460 Base,90871,24995,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,138118,25990,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,50109,28990,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,91805,25998,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,114926,22900,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,81217,28998,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Luxury AWD 4dr SUV,84148,29756,Fair,2015,Lexus,GX 460 Luxury AWD 4dr SUV
2015 Lexus GX 460 Base,99870,24995,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,115594,24598,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,125035,21488,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,104653,25998,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,139507,31995,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,135383,23994,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460,139557,23498,Good,2015,Lexus,GX 460
2015 Lexus GX 460 Base,122637,22995,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,62779,33990,Fair,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,165000,20499,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,128242,24999,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 460,128583,21174,Good,2015,Lexus,GX 460 460
2015 Lexus GX 460 Base,109242,22779,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,110362,23799,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,67500,28400,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,77985,28699,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,190829,18000,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,85753,28995,Good,2015,Lexus,GX 460 Luxury
2015 Lexus GX 460 Base,98830,26952,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 460,141756,21700,Good,2015,Lexus,GX 460 460
2015 Lexus GX 460 4WD 4dr,91360,25888,Good,2015,Lexus,GX 460 4WD 4dr
2015 Lexus GX 460 Base,97908,24977,Good,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,135390,25900,Fair,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Base,141000,24699,None,2015,Lexus,GX 460 Base
2015 Lexus GX 460 Luxury,111336,27599,Fair,2015,Lexus,GX 460 Luxury
2016 Lexus GX 460 460,106649,22412,Good,2016,Lexus,GX 460 460
2016 Lexus GX 460 Base,98668,26468,Good,2016,Lexus,GX 460 Base
2016 Lexus GX 460 Base,99912,26998,Great,2016,Lexus,GX 460 Base
2016 Lexus GX 460 GX 460 Sport Utility 4D,172498,19995,Great,2016,Lexus,GX 460 GX 460 Sport Utility 4D
2016 Lexus GX 460 Base,96422,27991,Good,2016,Lexus,GX 460 Base
2016 Lexus GX 460 Base,81559,29998,Good,2016,Lexus,GX 460 Base
2016 Lexus GX 460 Base,58957,29999,Good,2016,Lexus,GX 460 Base
2016 Lexus GX 460 Base AWD 4dr SUV,79000,26750,None,2016,Lexus,GX 460 Base AWD 4dr SUV
2016 Lexus GX 460 Base,171947,23397,Fair,2016,Lexus,GX 460 Base
2016 Lexus GX 460 460,112061,25640,Good,2016,Lexus,GX 460 460
2016 Lexus GX 460 Base,73094,22500,Great,2016,Lexus,GX 460 Base
